OA: 0.9414  MP: 0.8152  MR: 0.9569  MIoU: 0.7794  FWIoU: 0.9041  MDice: 0.8804  ID: Pa_76
OA: 0.9668  MP: 0.9348  MR: 0.9568  MIoU: 0.8983  FWIoU: 0.9378  MDice: 0.9457  ID: Pa_81
OA: 0.9540  MP: 0.9410  MR: 0.9044  MIoU: 0.8582  FWIoU: 0.9129  MDice: 0.9224  ID: Pa_91
OA: 0.9714  MP: 0.9795  MR: 0.8979  MIoU: 0.8793  FWIoU: 0.9439  MDice: 0.9369  ID: Pa_97
OA: 0.9749  MP: 0.9738  MR: 0.9644  MIoU: 0.9401  FWIoU: 0.9510  MDice: 0.9691  ID: Pa_98
OA: 0.9784  MP: 0.9506  MR: 0.9239  MIoU: 0.8854  FWIoU: 0.9586  MDice: 0.9371  ID: Sc_101
OA: 0.9890  MP: 0.9435  MR: 0.9759  MIoU: 0.9234  FWIoU: 0.9793  MDice: 0.9594  ID: Sc_102
OA: 0.9792  MP: 0.9691  MR: 0.9475  MIoU: 0.9209  FWIoU: 0.9596  MDice: 0.9582  ID: Sc_113
OA: 0.9828  MP: 0.9666  MR: 0.9598  MIoU: 0.9302  FWIoU: 0.9667  MDice: 0.9632  ID: Sc_115
OA: 0.9955  MP: 0.9759  MR: 0.8918  MIoU: 0.8761  FWIoU: 0.9912  MDice: 0.9320  ID: Sc_12
OA: 0.9955  MP: 0.9872  MR: 0.9515  MIoU: 0.9406  FWIoU: 0.9912  MDice: 0.9690  ID: Sc_129
OA: 0.9957  MP: 0.9934  MR: 0.9887  MIoU: 0.9823  FWIoU: 0.9915  MDice: 0.9911  ID: Sc_138
OA: 0.9867  MP: 0.9790  MR: 0.9642  MIoU: 0.9453  FWIoU: 0.9739  MDice: 0.9716  ID: Sc_144
OA: 0.9818  MP: 0.9546  MR: 0.9486  MIoU: 0.9101  FWIoU: 0.9652  MDice: 0.9515  ID: Sc_148
OA: 0.9816  MP: 0.9764  MR: 0.9242  MIoU: 0.9047  FWIoU: 0.9639  MDice: 0.9496  ID: Sc_149
OA: 0.9847  MP: 0.9340  MR: 0.9779  MIoU: 0.9156  FWIoU: 0.9713  MDice: 0.9555  ID: Sc_151
OA: 0.9626  MP: 0.9564  MR: 0.8850  MIoU: 0.8517  FWIoU: 0.9280  MDice: 0.9193  ID: Sc_156
OA: 0.9706  MP: 0.9274  MR: 0.8734  MIoU: 0.8262  FWIoU: 0.9447  MDice: 0.8996  ID: Sc_158
OA: 0.9528  MP: 0.8918  MR: 0.9448  MIoU: 0.8491  FWIoU: 0.9154  MDice: 0.9176  ID: Sc_163
OA: 0.9468  MP: 0.7204  MR: 0.9637  MIoU: 0.6914  FWIoU: 0.9231  MDice: 0.8245  ID: Sc_169
OA: 0.9817  MP: 0.9762  MR: 0.9384  MIoU: 0.9181  FWIoU: 0.9643  MDice: 0.9569  ID: Sc_177
OA: 0.9892  MP: 0.9759  MR: 0.9635  MIoU: 0.9421  FWIoU: 0.9789  MDice: 0.9697  ID: Sc_182
OA: 0.9698  MP: 0.9495  MR: 0.8318  MIoU: 0.8013  FWIoU: 0.9419  MDice: 0.8868  ID: Sc_189
OA: 0.9875  MP: 0.8993  MR: 0.9458  MIoU: 0.8622  FWIoU: 0.9773  MDice: 0.9220  ID: Sc_190
OA: 0.9952  MP: 0.9263  MR: 0.9244  MIoU: 0.8696  FWIoU: 0.9911  MDice: 0.9254  ID: Sc_193
OA: 0.9942  MP: 0.9281  MR: 0.9830  MIoU: 0.9149  FWIoU: 0.9893  MDice: 0.9548  ID: Sc_201
